algorithm_name,env_n,size,success,states,time,seed,solution
FC,114,8,1,33,0.002019,26,"{0: 2, 1: 7, 2: 3, 3: 6, 4: 0, 5: 5, 6: 1, 7: 4}"
BT,115,8,1,59,0.00019,27,"{0: 3, 1: 0, 2: 4, 3: 7, 4: 5, 5: 2, 6: 6, 7: 1}"
FC,116,8,1,12,0.00095,27,"{0: 3, 1: 0, 2: 4, 3: 7, 4: 5, 5: 2, 6: 6, 7: 1}"
BT,117,8,1,20,0.000145,28,"{0: 3, 1: 5, 2: 7, 3: 2, 4: 0, 5: 6, 6: 4, 7: 1}"
FC,118,8,1,8,0.000758,28,"{0: 3, 1: 5, 2: 7, 3: 2, 4: 0, 5: 6, 6: 4, 7: 1}"
BT,119,8,1,43,0.00015,29,"{0: 3, 1: 7, 2: 4, 3: 2, 4: 0, 5: 6, 6: 1, 7: 5}"
FC,120,8,1,9,0.000794,29,"{0: 3, 1: 7, 2: 4, 3: 2, 4: 0, 5: 6, 6: 1, 7: 5}"
BT,121,10,1,4992,0.005287,0,"{0: 7, 1: 9, 2: 4, 3: 1, 4: 5, 5: 0, 6: 2, 7: 6, 8: 8, 9: 3}"
FC,122,10,1,383,0.019894,0,"{0: 7, 1: 9, 2: 4, 3: 1, 4: 5, 5: 0, 6: 2, 7: 6, 8: 8, 9: 3}"
BT,123,10,1,139,0.000343,1,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 8, 5: 2, 6: 5, 7: 3, 8: 0, 9: 9}"
FC,124,10,1,16,0.001792,1,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 8, 5: 2, 6: 5, 7: 3, 8: 0, 9: 9}"
BT,125,10,1,991,0.001648,2,"{0: 5, 1: 8, 2: 1, 3: 9, 4: 7, 5: 2, 6: 0, 7: 3, 8: 6, 9: 4}"
FC,126,10,1,75,0.004315,2,"{0: 5, 1: 8, 2: 1, 3: 9, 4: 7, 5: 2, 6: 0, 7: 3, 8: 6, 9: 4}"
